Origin,Dest,Distance,Month,DayOfWeek,Hour,Weather_Rain,Weather_Wind,Visibility,Temperature,Delay_Status
ORD,DTW,1615,9,1,14,35.3,7.23,6.76,18.96,1
ORD,DTW,3793,6,7,8,72.97,35.03,2.01,22.33,1
JFK,BOS,1168,5,6,11,5.67,58.74,7.32,-7.98,1
LAX,MSP,568,8,2,10,0.25,34.32,8.4,8.36,0
ATL,DTW,432,8,6,16,28.55,56.94,8.4,3.17,1
DEN,MSP,2442,12,3,5,45.08,26.65,3.56,-2.5,1
LAS,IAH,1106,12,5,7,47.19,26.15,3.37,9.48,1
LAX,PHX,3283,3,7,9,35.73,30.0,5.69,7.75,1
DFW,SFO,1120,2,3,14,9.37,41.85,9.71,26.44,0
ORD,MSP,888,2,5,3,12.79,22.06,9.28,19.9,0
CLT,MIA,376,5,3,17,63.91,51.83,4.24,35.66,1
JFK,SEA,2464,10,7,10,65.09,1.76,8.02,-2.73,1
JFK,MIA,1234,12,6,8,50.54,26.39,9.29,-7.01,1
CLT,DTW,1669,7,3,8,49.82,30.66,3.35,16.73,1
ATL,IAH,829,8,6,7,44.83,36.42,8.47,-9.95,1
LAX,IAH,363,10,7,2,15.22,16.56,3.41,29.39,1
LAS,MIA,3822,8,6,20,32.12,25.65,4.09,15.3,1
ATL,SFO,2300,12,2,17,52.19,29.07,2.79,14.4,1
CLT,MIA,2465,8,6,13,40.29,41.21,5.56,8.12,1
ORD,BOS,3989,10,1,2,1.39,46.41,8.59,8.75,1
CLT,DTW,3246,12,3,16,71.52,44.27,5.75,11.56,1
ATL,DTW,1023,11,7,3,63.36,20.49,2.11,-9.2,1
DEN,MIA,3631,3,4,20,19.54,59.97,3.27,-5.82,1
JFK,SEA,2632,11,4,17,46.23,50.92,6.07,15.25,1
JFK,SEA,255,2,4,14,69.24,15.6,6.25,-2.49,1
DFW,DTW,317,4,7,18,7.2,11.71,6.19,28.94,0
DFW,PHX,3147,1,1,21,37.73,18.84,1.69,3.72,1
CLT,SEA,3524,3,6,5,34.22,27.14,7.78,-5.11,1
LAS,MIA,997,11,3,14,30.77,51.05,9.18,1.76,1
ORD,SEA,979,9,5,6,62.67,46.7,5.59,7.85,1
DEN,DTW,3263,7,5,11,28.55,51.07,7.47,-8.23,1
LAX,SFO,3050,7,7,15,4.77,16.32,9.23,-2.92,1
ATL,MSP,3092,1,2,8,4.94,35.61,6.78,6.19,1
LAS,SEA,3451,7,1,19,3.21,16.99,7.07,5.52,1
ORD,BOS,1638,10,3,4,30.69,6.54,7.49,30.02,1
DFW,SFO,2093,7,6,10,53.88,41.05,3.34,32.16,1
CLT,PHX,3506,4,4,1,15.28,8.58,6.24,-0.33,1
ATL,BOS,3102,7,1,21,48.49,40.06,8.58,-3.8,1
DFW,MIA,907,8,1,15,51.53,38.88,3.67,21.71,1
CLT,MSP,1303,3,3,3,19.14,48.61,9.07,30.23,1
ATL,MIA,3918,10,7,4,45.04,8.37,6.58,38.19,1
LAX,MSP,221,2,6,6,51.37,47.01,4.81,-9.66,1
ORD,MSP,1700,7,7,5,35.0,59.96,6.61,10.68,1
ATL,MIA,1042,5,7,23,25.25,51.06,4.62,26.7,1
DEN,BOS,3711,5,2,21,46.44,45.11,8.54,31.43,1
LAS,BOS,1960,5,7,9,73.34,39.73,5.34,-6.89,1
JFK,MSP,3841,7,6,13,32.01,25.31,9.11,24.03,1
DEN,BOS,1316,9,2,7,29.38,43.83,5.59,4.45,1
DEN,MSP,391,11,2,13,34.82,43.45,6.94,-6.27,1
LAS,DTW,1218,8,4,13,5.72,37.89,9.98,14.46,1
JFK,MSP,1326,6,4,19,41.49,47.78,2.32,-2.09,1
DEN,DTW,595,7,3,22,24.65,26.93,7.63,26.85,1
ATL,SFO,3278,9,6,2,9.11,7.28,2.25,27.06,1
ATL,IAH,2887,11,7,0,34.97,33.54,8.55,32.1,1
ATL,SFO,1218,6,2,8,0.25,15.9,6.37,8.88,0
JFK,MIA,766,1,3,8,30.13,23.07,9.44,-9.33,1
DEN,IAH,430,4,2,21,7.93,1.04,8.79,2.99,1
CLT,SEA,1073,8,1,1,1.82,22.97,1.67,13.39,0
JFK,MIA,2821,7,5,15,61.84,48.53,2.24,24.7,1
ATL,PHX,439,3,5,7,68.72,32.56,6.41,9.1,1
LAS,SFO,289,10,2,5,15.58,0.59,5.66,16.8,0
DEN,BOS,2479,3,3,22,40.45,28.19,2.52,16.21,1
DEN,SFO,656,11,4,12,20.85,17.49,2.16,-1.75,1
DFW,BOS,2480,3,6,0,37.02,28.65,6.08,21.15,1
DFW,IAH,553,12,2,18,32.75,24.28,1.44,11.96,1
LAX,PHX,1204,1,2,14,20.18,55.92,8.86,30.4,1
CLT,IAH,1556,10,6,0,52.53,2.47,8.26,24.53,1
CLT,PHX,638,1,7,9,9.49,41.02,8.07,-4.43,1
ORD,SFO,1598,6,4,0,3.98,51.06,1.14,14.44,1
CLT,BOS,3563,1,2,11,57.58,57.55,1.43,25.12,1
DFW,IAH,544,5,1,10,49.94,10.66,5.95,-5.65,1
JFK,PHX,2911,4,4,16,37.39,31.88,9.95,29.62,1
CLT,MSP,3699,5,1,3,35.08,2.62,4.08,1.1,1
DFW,MIA,856,7,5,22,37.31,29.95,4.1,15.15,1
LAX,MIA,2377,6,6,6,32.78,7.53,2.21,37.03,1
DEN,IAH,2388,12,4,11,29.47,50.27,7.07,18.57,1
CLT,BOS,2662,9,7,12,37.48,6.83,6.82,11.2,1
LAX,MSP,1316,6,4,4,39.64,30.8,1.91,-9.66,1
DEN,IAH,825,9,3,5,51.89,31.27,5.21,-3.33,1
LAS,SFO,483,4,3,1,53.34,58.3,7.0,18.93,1
LAS,PHX,2179,1,6,20,28.32,39.3,5.44,14.69,1
DEN,DTW,1878,1,7,6,31.02,17.27,7.07,8.19,1
CLT,SFO,422,10,4,13,28.03,14.45,8.35,36.16,1
ORD,MIA,943,7,5,21,40.24,7.69,7.17,6.62,1
DFW,PHX,662,3,7,13,34.0,45.39,6.55,16.86,1
JFK,IAH,1768,2,2,9,66.72,41.45,8.68,18.44,1
JFK,SFO,3547,6,6,3,52.23,36.59,9.11,16.37,1
ATL,SEA,1905,6,7,2,67.4,2.45,4.5,13.88,1
DEN,DTW,1363,7,6,22,53.19,45.77,2.56,6.85,1
JFK,BOS,2604,5,7,13,72.82,38.51,8.36,35.44,1
CLT,MSP,1936,8,3,5,47.68,57.83,2.92,12.54,1
ORD,MSP,1246,7,5,22,72.27,35.23,9.36,16.42,1
DEN,BOS,3541,2,6,14,11.86,18.24,1.21,22.82,1
ORD,SEA,3106,1,5,7,3.94,22.89,9.29,-6.62,1
CLT,MIA,864,9,6,4,43.43,10.55,6.3,29.06,1
JFK,PHX,1556,5,3,2,73.76,43.37,7.97,15.63,1
JFK,BOS,1214,12,2,2,31.32,42.46,4.59,22.86,1
ATL,SEA,2332,11,3,12,15.9,12.04,9.93,28.6,0
JFK,IAH,2868,5,6,1,39.12,9.51,3.05,33.7,1
DEN,DTW,1254,12,5,23,48.66,4.62,3.38,9.61,1
CLT,MSP,1964,10,1,0,23.64,54.72,1.46,30.57,1
LAS,DTW,2487,4,3,11,53.61,13.98,9.46,2.94,1
CLT,SEA,2113,2,5,7,73.13,20.65,5.1,23.02,1
DEN,DTW,562,5,7,18,67.27,16.83,7.07,-4.86,1
DEN,MIA,3069,2,7,8,21.87,24.82,7.19,-9.0,1
ATL,MIA,1612,12,3,13,24.5,42.84,8.87,-5.21,1
ATL,SFO,3924,7,6,17,27.87,52.24,6.98,5.97,1
JFK,BOS,867,11,7,9,29.59,10.96,6.06,-8.45,1
LAX,SFO,3570,9,5,8,7.52,41.18,7.39,21.52,1
CLT,DTW,2080,9,2,5,57.15,21.15,7.76,5.83,1
CLT,MSP,1594,11,5,0,27.4,58.83,2.67,26.82,1
LAX,SEA,298,6,7,4,65.99,17.94,1.99,-7.7,1
ATL,PHX,2294,1,7,9,69.52,0.43,1.67,0.84,1
JFK,DTW,3086,6,4,12,1.83,30.94,4.37,10.4,1
LAX,PHX,621,5,1,21,74.14,9.04,5.48,9.13,1
JFK,MIA,1703,4,6,22,53.25,2.67,6.54,-3.45,1
JFK,PHX,3850,12,5,3,39.03,41.9,9.62,39.71,1
JFK,PHX,261,6,7,0,29.21,43.94,3.98,4.22,1
DFW,MSP,1332,6,6,20,38.89,27.64,7.85,26.05,1
DEN,PHX,1902,6,3,1,24.35,40.61,5.78,1.0,1
JFK,DTW,3820,2,3,23,46.7,32.29,2.98,33.89,1
DFW,SEA,3390,7,5,3,6.97,37.79,6.54,9.39,1
ATL,PHX,3257,4,4,16,46.58,35.8,9.7,35.05,1
LAX,IAH,797,12,7,9,20.65,39.95,2.12,7.09,1
DEN,PHX,3653,9,5,22,1.32,11.98,5.57,-9.57,1
LAS,PHX,591,10,2,11,41.45,16.12,1.46,15.85,1
LAX,SFO,3224,2,4,1,43.38,26.4,3.89,16.24,1
DEN,SEA,1275,5,7,2,31.99,26.77,6.59,-4.01,1
LAS,DTW,2850,4,7,13,5.42,46.46,8.57,1.75,1
LAX,MIA,1512,9,6,14,67.0,22.04,7.57,29.17,1
DEN,SFO,2229,4,5,12,45.86,9.75,5.17,-8.16,1
LAX,DTW,2584,8,7,8,8.68,15.09,9.18,14.48,1
LAX,BOS,1009,8,6,1,38.32,12.88,3.72,16.52,1
LAS,SEA,3475,6,7,18,37.29,43.9,7.79,24.44,1
LAX,IAH,3509,6,1,15,4.53,28.22,5.27,-8.13,1
LAX,SEA,1605,11,4,10,45.51,42.52,9.09,19.28,1
LAS,BOS,3938,8,5,11,60.62,24.97,8.18,-9.85,1
ATL,BOS,2999,12,1,0,56.18,53.38,9.11,3.26,1
JFK,BOS,1359,12,5,1,15.22,59.01,2.93,14.98,1
CLT,MSP,3678,10,2,15,64.67,40.19,7.01,35.56,1
ORD,MIA,1731,9,3,1,25.69,51.83,7.65,-3.67,1
DFW,PHX,1585,5,6,18,70.99,30.48,7.68,-1.54,1
ORD,SEA,3652,11,5,9,5.38,56.08,5.54,23.46,1
ORD,DTW,1080,1,4,18,36.47,49.9,1.1,8.74,1
DEN,MSP,1799,1,5,9,44.78,59.51,3.35,21.17,1
JFK,DTW,2882,2,5,15,18.57,37.39,3.91,39.87,1
DEN,PHX,453,10,5,12,57.85,46.75,8.67,39.34,1
JFK,PHX,3748,10,7,15,47.02,32.57,8.57,7.69,1
LAS,IAH,3385,5,5,17,1.36,15.55,1.94,15.2,1
LAS,BOS,2267,4,7,23,45.63,21.29,9.55,35.23,1
CLT,MIA,2775,1,4,7,36.86,53.64,2.64,-5.39,1
JFK,IAH,1368,4,4,23,14.7,3.36,4.73,12.62,0
LAX,SFO,1431,4,5,17,74.68,35.49,2.94,8.88,1
ATL,MSP,3802,10,7,12,67.29,22.35,8.74,4.74,1
CLT,MSP,2623,4,3,6,21.94,23.2,7.74,39.71,1
CLT,MIA,3775,1,5,20,40.58,53.07,4.18,26.68,1
LAX,PHX,365,9,6,22,23.74,51.23,7.14,9.44,1
ATL,DTW,1773,3,6,23,58.16,35.93,2.66,31.45,1
DEN,MSP,3452,4,4,17,69.77,16.38,4.44,14.48,1
ATL,MIA,3108,5,6,5,26.91,28.53,4.39,33.64,1
DEN,MSP,816,7,6,8,60.42,24.5,3.14,3.32,1
LAS,MSP,2859,6,2,5,37.38,21.22,8.89,1.18,1
ORD,BOS,1825,5,5,17,29.74,6.17,7.11,2.36,1
LAS,SFO,3715,8,5,16,70.38,32.59,3.52,16.92,1
LAS,BOS,3603,1,5,11,38.28,18.11,3.18,4.57,1
ORD,SFO,702,7,5,2,35.06,39.65,1.16,-2.64,1
ATL,MSP,1112,12,1,4,50.43,19.15,4.12,39.73,1
CLT,IAH,2326,6,5,6,19.59,25.87,5.74,35.02,1
ATL,DTW,784,11,7,9,24.36,3.14,3.5,21.75,1
DEN,PHX,2158,5,4,9,69.9,59.55,7.3,34.58,1
LAX,MSP,2935,7,7,18,50.89,30.46,4.71,36.77,1
DEN,SFO,595,3,4,3,62.0,1.45,3.85,23.81,1
LAX,SFO,1831,1,1,9,20.33,32.47,9.45,15.93,1
LAS,SFO,2080,9,5,17,40.78,52.22,3.37,34.1,1
ORD,MSP,3374,2,3,2,72.85,46.35,4.58,18.39,1
LAS,MIA,601,10,7,20,23.9,42.05,4.44,-3.66,1
JFK,IAH,1174,3,5,2,12.04,8.37,3.17,8.34,1
ATL,MIA,423,8,4,4,38.32,39.46,2.96,12.3,1
LAX,PHX,717,12,7,15,29.09,45.98,3.72,36.77,1
DEN,MSP,2881,10,2,19,11.97,34.35,8.78,22.96,1
ORD,SFO,435,9,6,12,66.64,53.56,7.9,33.76,1
LAX,IAH,3698,3,2,10,74.3,16.62,7.13,27.88,1
DEN,IAH,315,6,3,12,42.64,14.53,5.11,5.49,1
ATL,SEA,3434,7,5,18,58.1,52.17,5.57,25.94,1
LAS,PHX,425,1,1,5,64.43,37.52,3.4,-0.24,1
ATL,DTW,2477,7,5,23,52.57,0.09,1.67,10.41,1
DFW,DTW,381,4,3,12,3.31,21.19,3.98,30.3,0
JFK,IAH,3520,5,3,3,11.82,51.47,5.46,20.6,1
DFW,MSP,1541,8,6,21,5.32,1.64,1.52,31.27,1
ORD,SFO,409,4,3,4,0.74,0.19,1.79,2.74,0
LAX,SFO,3927,4,2,18,22.95,16.88,3.37,27.49,1
ORD,IAH,1615,8,6,4,29.43,54.84,4.3,0.12,1
LAS,MIA,2343,5,5,20,18.08,54.09,4.54,17.27,1
DEN,PHX,1093,6,7,13,4.85,31.13,2.06,11.68,1
ATL,SFO,2081,12,5,3,39.74,33.19,3.03,17.82,1
DFW,IAH,3003,11,1,11,20.5,19.92,3.35,-3.22,1
CLT,SFO,1309,5,3,5,59.7,14.62,1.61,8.06,1
DFW,DTW,2662,1,3,18,0.6,48.91,3.93,23.35,1
LAS,IAH,2226,7,4,9,63.19,6.38,1.65,17.93,1
DFW,PHX,593,6,6,0,71.61,29.24,7.33,17.45,1
LAS,IAH,2943,2,4,22,53.71,38.06,4.47,15.54,1
CLT,SEA,3904,11,6,22,55.02,6.22,3.94,37.19,1
ORD,IAH,1043,7,2,15,70.02,31.18,2.14,36.73,1
ATL,IAH,1724,6,6,3,15.68,34.65,3.04,8.01,1
LAX,MSP,803,5,5,8,74.59,44.55,3.09,7.59,1
DEN,DTW,781,8,1,17,58.01,14.09,9.87,17.74,1
LAX,PHX,2242,5,7,16,54.49,17.6,8.52,-5.22,1
ORD,MSP,2139,11,6,14,27.08,34.17,1.14,5.15,1
DEN,IAH,332,2,6,18,40.93,58.99,6.55,1.54,1
DFW,PHX,3038,6,6,6,49.04,13.05,3.3,1.17,1
CLT,SEA,2896,12,1,17,46.53,59.15,1.94,21.93,1
CLT,PHX,3585,1,3,5,52.87,42.86,7.35,9.22,1
JFK,SFO,3970,5,1,18,6.18,49.56,2.18,-1.44,1
ORD,MSP,2468,6,3,20,26.67,5.38,4.99,34.38,1
ORD,PHX,1175,7,7,11,32.55,18.03,6.69,33.71,1
ATL,DTW,3709,2,5,2,19.55,3.46,5.99,33.12,1
LAX,SEA,3317,1,1,0,12.95,22.29,9.8,9.54,0
ORD,BOS,2013,6,3,4,10.42,58.88,8.07,-7.15,1
ORD,IAH,3463,3,5,0,27.48,6.32,7.97,-4.66,1
DFW,PHX,1743,5,5,7,37.01,33.74,4.2,3.8,1
DFW,IAH,3650,12,3,6,4.72,0.36,1.08,1.0,0
DEN,MIA,3035,11,3,14,70.98,42.76,7.61,33.7,1
LAS,SFO,2938,2,2,10,57.39,11.83,10.0,39.32,1
LAS,MSP,1557,1,5,17,54.81,7.78,4.65,30.83,1
JFK,SFO,238,1,3,13,12.96,20.22,9.87,26.49,1
LAS,MIA,1516,11,5,8,45.29,46.26,2.28,19.43,1
ATL,MIA,2937,4,1,4,39.73,6.4,3.67,28.5,1
JFK,MSP,361,10,7,22,73.69,13.79,2.54,37.35,1
DEN,PHX,3602,2,4,3,56.08,0.51,5.28,20.07,1
DFW,MIA,2109,1,4,11,43.18,58.1,8.17,-2.27,1
LAS,BOS,1327,6,6,0,63.81,35.53,4.07,-1.81,1
LAX,IAH,2408,4,3,23,11.63,43.19,9.16,19.19,1
DFW,IAH,1858,10,3,12,1.14,39.08,5.9,6.67,1
CLT,SEA,3325,12,5,0,51.77,8.66,5.19,35.51,1
ATL,DTW,2163,7,6,2,7.37,35.7,8.08,20.58,1
DFW,MIA,1257,11,3,21,8.66,7.88,1.91,23.82,1
ATL,MIA,2489,6,5,7,55.85,24.07,7.96,-9.71,1
ATL,BOS,1166,5,3,23,20.29,34.14,3.19,14.94,1
ATL,SFO,1089,10,5,17,47.15,33.53,3.53,11.56,1
DEN,SFO,2360,12,3,15,68.81,7.14,6.4,25.29,1
ATL,IAH,3261,12,2,19,23.74,2.07,9.12,9.13,1
ATL,IAH,2565,12,7,19,16.29,47.89,6.21,38.83,1
CLT,PHX,2270,12,5,15,7.99,43.56,6.84,23.51,1
LAX,MSP,3829,2,7,1,9.78,4.91,7.99,23.0,1
JFK,DTW,3071,5,2,16,4.67,7.64,3.33,35.97,1
ORD,BOS,3918,9,2,9,6.57,53.56,8.45,39.76,1
CLT,MSP,3389,9,2,6,32.4,46.15,4.76,-0.11,1
JFK,MSP,2948,2,2,9,24.06,59.77,2.58,30.53,1
ATL,SEA,1866,7,1,18,52.99,15.24,4.15,-1.88,1
LAX,MSP,3266,10,7,19,65.27,29.27,3.22,12.85,1
DFW,SEA,3483,4,6,8,58.86,14.19,3.06,-4.99,1
LAX,MSP,1641,3,7,21,39.8,37.37,3.54,21.17,1
CLT,BOS,3384,11,4,16,7.68,6.92,2.63,13.43,1
ATL,SEA,1267,1,1,8,53.23,7.63,7.01,21.43,1
LAX,SFO,327,3,3,8,27.21,4.31,6.22,23.9,1
LAS,SEA,3123,11,3,4,6.42,41.62,6.84,20.97,1
LAX,SEA,357,9,6,23,63.18,29.64,4.09,4.7,1
ATL,BOS,1026,9,4,6,25.37,37.06,7.93,31.85,1
DEN,BOS,3665,7,4,10,16.37,52.76,2.17,17.58,1
LAS,SEA,2090,3,4,7,65.36,44.42,6.14,14.49,1
LAX,DTW,3099,3,2,13,67.66,27.7,3.48,39.35,1
ORD,MIA,711,4,1,1,25.42,59.06,5.75,4.18,1
ORD,DTW,2292,7,3,9,26.61,27.38,3.91,16.4,1
LAX,BOS,3379,7,1,20,43.47,6.75,8.11,24.12,1
DEN,DTW,2466,12,1,23,55.01,59.56,9.02,-3.74,1
DFW,DTW,642,12,1,15,4.74,1.37,7.68,7.71,0
ATL,PHX,2562,2,4,15,44.5,32.99,2.58,30.08,1
ORD,PHX,2424,12,6,18,71.46,18.55,3.47,1.84,1
DFW,SFO,2475,5,6,10,19.66,30.21,9.27,14.66,1
LAX,MSP,1926,7,4,5,68.16,33.52,4.93,21.53,1
CLT,SEA,2206,7,3,5,71.26,14.41,9.47,23.56,1
DFW,MIA,1895,6,3,6,20.19,33.41,4.53,26.42,1
LAS,SFO,466,10,3,15,56.57,45.36,9.57,33.3,1
JFK,SEA,3117,10,6,12,17.91,15.99,9.33,9.64,0
ORD,DTW,1037,12,6,2,55.32,23.01,6.94,25.33,1
LAX,BOS,3650,8,1,23,59.81,16.09,1.08,26.61,1
CLT,PHX,688,3,4,23,18.54,49.23,4.6,5.01,1
ATL,IAH,901,1,2,8,53.69,43.5,9.2,38.41,1
CLT,MIA,886,3,1,23,60.91,52.27,8.97,33.26,1
DEN,DTW,3561,11,5,2,26.89,10.2,2.69,4.49,1
LAS,IAH,1195,2,6,5,12.58,4.41,4.59,23.75,0
LAX,PHX,556,2,1,16,6.9,7.16,8.52,25.89,0
ATL,DTW,3928,2,4,2,43.15,9.66,6.2,11.57,1
DEN,MSP,1071,5,5,1,73.36,31.98,8.63,33.19,1
DEN,MSP,2173,1,7,11,61.72,58.25,8.44,24.51,1
LAX,IAH,2451,10,1,23,32.69,21.43,9.17,22.91,1
LAS,BOS,3484,4,4,5,40.25,57.51,2.05,1.04,1
DFW,DTW,751,10,4,9,20.96,2.29,2.31,10.39,1
DFW,SEA,2010,5,6,10,12.23,55.61,1.75,11.7,1
DEN,DTW,522,2,2,15,36.16,10.87,9.42,26.68,0
DFW,BOS,2841,5,1,15,34.76,54.75,5.28,20.92,1
JFK,DTW,2428,10,4,23,39.14,3.37,1.58,-5.71,1
DEN,IAH,2746,4,3,17,71.46,56.89,3.89,5.38,1
DEN,BOS,3591,8,4,21,45.29,12.05,4.16,13.65,1
ATL,PHX,282,1,2,22,45.43,18.16,8.29,26.84,1
DFW,MIA,2550,12,4,23,9.6,29.46,7.62,27.18,1
LAS,BOS,461,5,6,8,74.74,22.84,7.2,14.53,1
DEN,DTW,983,11,7,20,57.96,40.05,1.2,-4.15,1
CLT,PHX,1423,12,1,18,65.79,58.49,9.2,4.65,1
LAS,MIA,3511,10,6,1,31.07,36.39,2.94,2.73,1
JFK,MSP,1113,1,1,23,37.66,43.29,6.66,29.05,1
ATL,SEA,2939,10,5,0,39.16,5.28,1.56,-1.0,1
LAX,IAH,1143,10,1,15,14.56,37.67,1.73,13.25,1
LAS,DTW,2930,4,5,21,51.71,27.23,1.09,23.54,1
DEN,DTW,1518,8,6,17,67.72,53.15,6.09,38.24,1
JFK,MSP,1735,1,3,2,12.28,23.29,6.66,39.96,1
ORD,SEA,888,11,2,23,6.47,40.77,1.45,37.65,1
JFK,MSP,2643,2,3,0,55.37,13.69,3.61,25.91,1
JFK,SFO,1972,1,5,5,20.49,15.56,8.66,27.32,1
ATL,MSP,3409,11,4,18,46.79,22.57,1.91,27.96,1
LAX,PHX,1038,7,4,21,52.18,18.24,2.95,33.13,1
ORD,MIA,1077,2,3,18,24.14,15.23,4.82,37.59,1
DFW,DTW,3070,1,4,10,61.14,2.98,8.58,12.29,1
DFW,MSP,3400,12,5,7,41.25,50.2,3.29,10.83,1
LAS,DTW,248,6,6,4,65.17,3.86,9.97,13.02,1
JFK,BOS,3947,6,2,19,57.25,53.24,4.2,22.99,1
CLT,SEA,3036,10,7,8,65.14,7.53,4.48,28.77,1
ATL,MSP,492,2,1,14,1.51,3.92,2.1,33.53,1
CLT,MIA,1851,1,5,20,18.26,33.78,7.12,12.81,1
ATL,PHX,735,10,7,13,6.75,30.15,3.19,8.17,0
DFW,SFO,510,3,5,3,33.16,29.47,6.66,39.17,1
LAS,DTW,736,10,1,23,66.75,34.47,3.01,1.59,1
LAS,SEA,2126,5,1,23,35.07,17.22,4.49,1.1,1
LAS,IAH,2886,6,2,7,63.73,39.78,8.71,25.77,1
ORD,MIA,433,3,2,19,24.54,30.14,7.65,-1.02,1
LAX,IAH,1432,9,2,16,25.47,20.08,2.39,9.97,1
ORD,MIA,2852,11,4,1,67.17,49.59,6.47,4.62,1
DEN,MIA,2341,5,5,19,31.94,43.66,6.66,-1.56,1
DEN,PHX,2574,2,6,15,59.23,23.62,1.82,18.99,1
CLT,PHX,2472,10,1,9,17.75,50.86,5.19,8.68,1
LAX,PHX,1166,6,5,1,71.16,55.22,3.35,13.11,1
DFW,MSP,1089,12,7,10,43.09,32.21,5.2,-0.21,1
LAX,BOS,2258,8,5,9,56.95,12.9,7.99,28.39,1
ATL,MIA,3600,11,2,18,6.71,54.95,2.42,5.74,1
DEN,SEA,3283,6,2,13,36.95,11.37,2.11,7.14,1
JFK,IAH,234,4,5,10,67.58,2.91,3.42,2.61,1
JFK,PHX,646,6,2,8,65.78,19.65,9.57,11.72,1
DFW,MSP,3723,8,4,6,3.51,43.62,7.73,13.18,1
ATL,PHX,1963,8,1,14,22.78,55.4,1.18,16.48,1
CLT,IAH,3491,10,7,19,33.25,38.24,4.61,38.38,1
ORD,IAH,2688,2,5,16,12.92,57.11,3.32,35.23,1
ATL,DTW,2900,8,1,2,54.75,5.54,6.74,20.47,1
JFK,MIA,1758,6,4,14,13.84,3.65,5.13,-8.05,1
JFK,PHX,794,2,7,13,26.0,36.25,9.68,20.61,1
CLT,IAH,2225,1,2,7,49.75,57.97,2.97,-5.52,1
DEN,BOS,2476,6,3,3,36.16,30.16,6.29,25.52,1
ATL,BOS,543,7,4,9,55.39,3.09,7.3,9.5,1
ATL,PHX,1303,10,3,1,72.09,13.27,8.43,31.88,1
JFK,MSP,3624,5,1,13,8.74,14.69,4.66,37.13,1
ORD,IAH,1619,10,5,7,53.22,20.27,7.18,10.86,1
DFW,DTW,1513,8,7,22,17.28,2.62,3.73,13.03,1
LAS,MIA,1678,11,2,9,31.09,54.29,4.92,19.51,1
DFW,MIA,3942,12,7,17,2.46,30.93,9.06,-0.14,1
ATL,MSP,3236,9,4,14,10.19,40.26,9.55,36.37,1
DFW,DTW,1351,4,2,4,23.98,4.03,7.47,11.65,0
JFK,MIA,3973,7,3,21,25.65,3.25,4.37,-1.66,1
JFK,DTW,3156,8,3,12,67.47,35.19,8.38,28.14,1
CLT,SFO,3814,6,6,17,55.64,53.24,1.23,0.96,1
ATL,PHX,2121,2,7,1,72.91,31.71,1.92,-2.82,1
CLT,MIA,1582,7,5,12,44.93,52.67,6.95,18.14,1
ATL,BOS,2774,9,3,13,18.13,48.66,3.62,23.57,1
LAS,IAH,3584,5,5,9,24.57,4.55,9.56,18.48,1
LAS,DTW,2322,2,6,3,23.99,12.12,4.92,22.83,1
DEN,DTW,1769,4,4,14,24.49,39.46,4.86,-4.22,1
ATL,SEA,2094,3,6,7,50.47,26.61,7.1,13.8,1
ORD,MSP,2443,4,5,14,39.81,17.44,7.91,7.85,1
DFW,SEA,2066,10,3,13,28.91,25.12,5.28,38.67,1
ATL,MIA,228,7,1,20,11.18,26.71,2.93,-7.52,1
LAX,SEA,905,10,5,8,1.66,54.63,7.96,4.91,1
DEN,SEA,1220,8,2,19,16.41,6.21,3.88,37.09,0
LAX,SFO,2263,1,1,2,8.06,16.78,2.58,39.17,1
JFK,DTW,1646,8,7,14,58.91,32.25,6.68,31.25,1
LAS,BOS,3860,5,5,23,8.44,41.9,1.81,-6.2,1
DFW,MSP,3052,12,2,16,54.32,37.84,9.74,18.07,1
ATL,BOS,3864,7,7,15,28.92,56.5,6.69,10.01,1
LAX,SFO,3676,11,6,3,5.5,47.74,9.87,30.32,1
DFW,SFO,3187,11,1,10,60.95,33.42,4.05,-7.25,1
JFK,SEA,1859,1,5,7,43.47,12.88,9.74,-0.14,1
LAS,PHX,3802,2,4,2,17.68,27.05,2.31,14.46,1
ORD,DTW,1166,1,6,18,67.1,41.6,1.37,-2.12,1
DEN,IAH,3885,5,2,13,3.39,50.28,1.3,24.64,1
DFW,DTW,3348,6,4,8,15.14,57.58,5.18,31.04,1
DFW,IAH,2476,10,3,2,56.4,36.33,1.75,25.23,1
ORD,SEA,3209,9,6,3,53.2,31.62,5.61,12.01,1
DFW,IAH,3568,8,6,3,21.7,1.06,3.95,33.92,1
JFK,SFO,3781,7,5,10,4.65,4.33,4.02,-3.12,1
JFK,BOS,2962,12,5,18,64.36,9.37,6.72,3.02,1
ORD,IAH,3231,5,2,15,23.53,3.29,2.47,14.48,1
DEN,DTW,772,3,6,22,14.68,24.05,7.9,-6.93,1
ATL,MSP,3809,9,5,21,38.7,20.21,6.24,-5.22,1
LAX,SEA,1806,5,3,16,68.27,38.24,9.23,9.87,1
ATL,PHX,814,3,7,9,3.27,32.14,4.28,37.19,1
DFW,SEA,525,3,7,23,57.44,35.76,9.84,35.42,1
LAX,MIA,3634,3,7,16,42.94,28.32,6.18,13.3,1
CLT,SEA,3940,6,5,15,31.91,16.66,9.76,-2.89,1
ORD,SFO,3122,1,6,19,55.81,57.17,1.24,-1.09,1
ORD,BOS,558,11,7,21,72.44,5.18,7.55,8.88,1
DEN,BOS,3977,4,1,5,17.19,56.33,8.35,0.5,1
