State,City,Vehicle_Type,Weather,Road_Type,Time,Year,Total_Accidents,Fatal_Accidents,Accident_Severity
Rajasthan,Patna,Truck,Foggy,Highway,Morning,2022,6715,5619,3
Gujarat,Chennai,Auto,Clear,Highway,Afternoon,2019,18899,4001,3
Bihar,Jaipur,Truck,Foggy,Highway,Morning,2022,42377,2426,2
Tamil Nadu,Patna,Auto,Dusty,Urban,Afternoon,2021,9643,315,1
Bihar,Chennai,Truck,Clear,Highway,Afternoon,2018,24547,6239,3
Delhi,Kolkata,Truck,Dusty,Highway,Night,2020,28100,4705,3
Karnataka,Kochi,Truck,Clear,Highway,Evening,2022,8846,4790,3
Tamil Nadu,Chennai,Auto,Dusty,Urban,Evening,2020,32269,6347,3
West Bengal,Kochi,Van,Foggy,Rural,Night,2019,48854,7234,2
Maharashtra,Jaipur,Auto,Rainy,Rural,Evening,2021,8064,3222,3
Uttar Pradesh,Bangalore,Bus,Dusty,Urban,Morning,2020,39620,9060,3
West Bengal,Ahmedabad,Car,Clear,Rural,Morning,2022,25808,9392,3
Delhi,Chennai,Car,Foggy,Urban,Afternoon,2018,13633,1212,2
Karnataka,Chennai,Van,Clear,Highway,Morning,2021,3544,6893,3
Rajasthan,Kochi,Car,Dusty,Rural,Evening,2019,31472,4957,3
Gujarat,Patna,Truck,Clear,Urban,Morning,2022,34719,2177,2
Bihar,Patna,Van,Clear,Urban,Afternoon,2021,7587,8177,3
Delhi,Chennai,Car,Dusty,Highway,Morning,2022,34556,1859,2
Uttar Pradesh,Patna,Auto,Foggy,Urban,Evening,2019,20131,5377,3
Gujarat,Patna,Bus,Foggy,Rural,Night,2019,18259,8808,3
Rajasthan,Chennai,Bike,Dusty,Highway,Afternoon,2018,37547,6736,3
Uttar Pradesh,Kolkata,Bus,Foggy,Urban,Night,2021,24375,6514,3
Maharashtra,Kolkata,Car,Rainy,Highway,Morning,2018,20857,5572,3
Bihar,New Delhi,Van,Clear,Urban,Afternoon,2018,5094,1839,3
West Bengal,Kolkata,Car,Dusty,Rural,Afternoon,2018,28340,2428,2
Tamil Nadu,New Delhi,Auto,Rainy,Rural,Morning,2020,48460,8566,3
Delhi,Jaipur,Bus,Clear,Highway,Afternoon,2019,1499,9374,3
Tamil Nadu,Lucknow,Auto,Dusty,Urban,Morning,2018,31705,4666,2
Gujarat,Ahmedabad,Auto,Foggy,Highway,Night,2020,6838,778,2
Tamil Nadu,Lucknow,Bike,Dusty,Highway,Night,2020,18926,994,2
West Bengal,Patna,Auto,Dusty,Rural,Evening,2020,34312,9739,3
Kerala,Mumbai,Auto,Clear,Highway,Evening,2018,28481,7480,3
Gujarat,Patna,Bike,Clear,Urban,Morning,2020,5393,8391,3
Bihar,Chennai,Truck,Clear,Rural,Morning,2018,22572,6262,3
Uttar Pradesh,Chennai,Truck,Rainy,Urban,Night,2021,9770,4007,3
Bihar,Ahmedabad,Van,Foggy,Highway,Afternoon,2019,13813,6733,3
Tamil Nadu,Bangalore,Bike,Dusty,Rural,Morning,2022,26633,5878,3
Karnataka,Bangalore,Van,Dusty,Urban,Afternoon,2018,5760,5534,3
Gujarat,Bangalore,Van,Foggy,Urban,Evening,2019,35404,5536,3
Uttar Pradesh,Kolkata,Auto,Dusty,Highway,Night,2018,3427,8323,3
Rajasthan,Jaipur,Van,Clear,Urban,Morning,2021,2334,7117,3
Maharashtra,Patna,Car,Dusty,Highway,Evening,2019,41022,1680,1
Bihar,Chennai,Bus,Foggy,Highway,Morning,2019,30179,2566,2
Bihar,Mumbai,Car,Rainy,Highway,Evening,2020,15421,3609,3
Gujarat,Mumbai,Car,Rainy,Highway,Night,2018,21284,1101,2
Karnataka,Mumbai,Auto,Foggy,Rural,Morning,2018,13976,4932,3
Tamil Nadu,Bangalore,Bus,Dusty,Urban,Morning,2022,7884,8964,3
Tamil Nadu,Ahmedabad,Van,Dusty,Urban,Afternoon,2020,46943,8058,3
Gujarat,Bangalore,Bus,Rainy,Rural,Afternoon,2020,16662,5212,3
Bihar,Chennai,Van,Dusty,Highway,Morning,2022,31750,7885,3
Uttar Pradesh,Patna,Truck,Rainy,Highway,Night,2020,4879,7233,3
Maharashtra,Patna,Bike,Foggy,Highway,Afternoon,2020,43503,4776,2
Gujarat,Ahmedabad,Auto,Foggy,Highway,Morning,2021,4454,8248,3
Uttar Pradesh,Jaipur,Van,Dusty,Rural,Morning,2019,2462,4403,3
Uttar Pradesh,Kolkata,Van,Clear,Urban,Evening,2022,20332,5418,3
Rajasthan,Mumbai,Bus,Clear,Highway,Night,2021,36835,7916,3
West Bengal,Patna,Auto,Rainy,Highway,Afternoon,2021,47791,9876,3
Kerala,Ahmedabad,Van,Foggy,Highway,Afternoon,2021,19778,8317,3
Maharashtra,Mumbai,Truck,Rainy,Urban,Evening,2020,12627,7491,3
Delhi,Bangalore,Car,Foggy,Urban,Morning,2022,36278,5710,3
Karnataka,Kochi,Van,Rainy,Rural,Afternoon,2020,4363,7550,3
Kerala,Lucknow,Bus,Rainy,Urban,Morning,2020,16573,6412,3
Rajasthan,Patna,Truck,Rainy,Urban,Afternoon,2021,12147,2120,3
Maharashtra,Jaipur,Auto,Dusty,Highway,Afternoon,2018,47007,8502,3
Tamil Nadu,Ahmedabad,Van,Clear,Urban,Morning,2022,40593,3278,2
Kerala,Kolkata,Truck,Foggy,Highway,Morning,2022,1056,9146,3
Tamil Nadu,Jaipur,Truck,Rainy,Rural,Afternoon,2021,20684,9125,3
Karnataka,Bangalore,Truck,Clear,Highway,Evening,2021,15834,416,1
Tamil Nadu,Patna,Truck,Rainy,Rural,Evening,2019,5225,4517,3
Karnataka,Chennai,Truck,Rainy,Urban,Evening,2021,2351,8188,3
Maharashtra,Bangalore,Truck,Foggy,Rural,Evening,2020,11111,2766,3
Bihar,Kolkata,Bike,Dusty,Highway,Evening,2021,16319,1185,2
Karnataka,Bangalore,Auto,Rainy,Urban,Morning,2022,39543,7745,3
Uttar Pradesh,Ahmedabad,Car,Foggy,Urban,Afternoon,2018,32967,7350,3
Delhi,Jaipur,Auto,Dusty,Highway,Evening,2018,7954,3963,3
Delhi,Ahmedabad,Bus,Dusty,Urban,Night,2020,16006,7641,3
Gujarat,Mumbai,Bus,Clear,Highway,Afternoon,2018,20727,5060,3
Delhi,Kochi,Auto,Clear,Rural,Night,2021,6937,4126,3
Gujarat,Jaipur,Truck,Rainy,Rural,Morning,2018,29204,8880,3
Delhi,Kochi,Bike,Clear,Urban,Afternoon,2021,41477,6338,3
Karnataka,Ahmedabad,Car,Foggy,Highway,Morning,2019,13659,8969,3
Uttar Pradesh,Chennai,Van,Foggy,Highway,Night,2022,14803,7787,3
Bihar,Patna,Van,Clear,Rural,Afternoon,2020,39360,1949,1
Tamil Nadu,Kolkata,Truck,Foggy,Highway,Afternoon,2019,9830,1409,2
Rajasthan,Bangalore,Auto,Foggy,Urban,Morning,2018,660,1690,3
Delhi,Bangalore,Van,Rainy,Urban,Afternoon,2020,44821,7621,3
Bihar,Kochi,Auto,Rainy,Rural,Night,2021,16678,9687,3
Bihar,Kolkata,Bike,Foggy,Highway,Morning,2019,4914,4073,3
Karnataka,Jaipur,Bike,Clear,Urban,Night,2022,43445,6693,3
Maharashtra,Patna,Auto,Foggy,Urban,Afternoon,2022,19840,936,1
Maharashtra,Lucknow,Truck,Dusty,Urban,Night,2019,23079,9357,3
Delhi,Kochi,Truck,Dusty,Highway,Afternoon,2019,16720,5474,3
Rajasthan,Jaipur,Truck,Dusty,Rural,Night,2019,8743,7222,3
Delhi,Jaipur,Van,Rainy,Rural,Night,2018,44125,4260,2
Delhi,Kolkata,Car,Clear,Urban,Evening,2022,5205,3145,3
Gujarat,Kolkata,Car,Foggy,Rural,Afternoon,2022,16304,6716,3
Uttar Pradesh,New Delhi,Truck,Clear,Urban,Evening,2018,18628,4531,3
Uttar Pradesh,Bangalore,Auto,Clear,Urban,Evening,2020,16593,2059,2
Rajasthan,Patna,Bike,Clear,Highway,Morning,2022,42423,1815,1
Gujarat,Mumbai,Bus,Dusty,Urban,Morning,2020,31534,7198,3
Bihar,Kochi,Bike,Foggy,Urban,Night,2020,12402,8312,3
Gujarat,Patna,Bike,Rainy,Highway,Afternoon,2020,41385,2506,2
Delhi,New Delhi,Bus,Clear,Highway,Morning,2022,38200,7346,3
Maharashtra,New Delhi,Truck,Clear,Rural,Evening,2021,1649,232,2
Kerala,Patna,Bike,Dusty,Highway,Afternoon,2020,3059,8967,3
Rajasthan,Kolkata,Bus,Dusty,Urban,Night,2021,10869,8918,3
Bihar,Jaipur,Van,Foggy,Highway,Night,2018,34335,7254,3
Karnataka,Lucknow,Auto,Rainy,Highway,Morning,2021,49011,889,1
Kerala,Patna,Auto,Rainy,Rural,Morning,2021,18713,5611,3
Kerala,Kochi,Auto,Dusty,Highway,Morning,2019,37551,1090,1
Gujarat,Mumbai,Truck,Foggy,Urban,Night,2020,45799,3556,2
Tamil Nadu,Bangalore,Bike,Clear,Urban,Evening,2022,34190,9087,3
Kerala,New Delhi,Bike,Foggy,Urban,Morning,2019,23630,8088,3
Delhi,Chennai,Car,Rainy,Highway,Night,2021,47473,4347,2
West Bengal,Chennai,Auto,Dusty,Highway,Afternoon,2018,18434,7521,3
Maharashtra,Jaipur,Truck,Clear,Urban,Night,2022,36250,6373,3
Maharashtra,Kolkata,Bus,Clear,Highway,Afternoon,2018,2544,1698,3
West Bengal,Bangalore,Truck,Rainy,Rural,Afternoon,2021,39081,4022,2
Uttar Pradesh,New Delhi,Bike,Clear,Rural,Evening,2018,29490,6796,3
Delhi,Chennai,Auto,Foggy,Rural,Morning,2019,40365,2132,2
Karnataka,Chennai,Car,Rainy,Rural,Afternoon,2018,2097,8058,3
Kerala,Lucknow,Van,Rainy,Urban,Morning,2019,2821,8621,3
Uttar Pradesh,Patna,Truck,Clear,Highway,Night,2020,48528,3642,2
Delhi,Ahmedabad,Car,Rainy,Rural,Morning,2022,31148,1796,2
Gujarat,Bangalore,Bike,Dusty,Urban,Night,2018,27097,9782,3
Maharashtra,Ahmedabad,Bus,Foggy,Rural,Afternoon,2019,34585,3226,2
Uttar Pradesh,Mumbai,Truck,Rainy,Highway,Evening,2021,28551,9366,3
Rajasthan,Kolkata,Van,Dusty,Rural,Afternoon,2021,31977,3525,2
Kerala,Patna,Bike,Clear,Rural,Night,2019,32157,8968,3
Kerala,Mumbai,Auto,Rainy,Rural,Afternoon,2022,21181,5794,3
Karnataka,Kochi,Truck,Dusty,Rural,Evening,2020,18441,8102,3
Tamil Nadu,New Delhi,Car,Clear,Highway,Morning,2020,28874,1372,1
Rajasthan,Ahmedabad,Truck,Dusty,Urban,Night,2022,1569,1450,3
Kerala,Jaipur,Bike,Clear,Rural,Morning,2018,33765,9422,3
Bihar,Kochi,Bike,Foggy,Urban,Evening,2019,604,8468,3
Rajasthan,Bangalore,Car,Rainy,Highway,Afternoon,2020,5542,8034,3
Kerala,New Delhi,Van,Foggy,Highway,Evening,2022,20919,4103,3
West Bengal,Chennai,Bike,Foggy,Rural,Night,2020,38472,3364,2
Rajasthan,Ahmedabad,Truck,Rainy,Urban,Night,2020,44608,9409,3
Delhi,Patna,Van,Foggy,Rural,Afternoon,2018,23849,9749,3
Rajasthan,Patna,Car,Foggy,Highway,Night,2020,32127,4291,2
Karnataka,Kochi,Bike,Dusty,Rural,Evening,2019,39702,788,1
Gujarat,Kochi,Bike,Clear,Rural,Night,2022,39750,5174,2
Gujarat,Kolkata,Truck,Foggy,Urban,Morning,2018,32764,1682,2
Gujarat,Chennai,Bike,Rainy,Highway,Evening,2018,37897,9615,3
Delhi,Lucknow,Truck,Dusty,Rural,Evening,2022,5147,5007,3
Uttar Pradesh,Ahmedabad,Auto,Clear,Rural,Night,2019,31127,3908,2
Gujarat,Mumbai,Van,Foggy,Rural,Afternoon,2020,8040,464,2
Maharashtra,Bangalore,Truck,Foggy,Urban,Afternoon,2020,26575,615,1
Delhi,Ahmedabad,Bus,Rainy,Highway,Afternoon,2019,49778,675,1
Uttar Pradesh,Ahmedabad,Bike,Foggy,Rural,Night,2021,32924,5017,3
Maharashtra,Chennai,Auto,Rainy,Rural,Night,2022,48378,7008,2
Maharashtra,Ahmedabad,Van,Foggy,Rural,Night,2019,24274,8242,3
Maharashtra,Kolkata,Car,Foggy,Highway,Evening,2020,13800,4876,3
Bihar,Ahmedabad,Bus,Rainy,Urban,Evening,2022,46526,6233,2
Karnataka,Jaipur,Car,Clear,Urban,Night,2022,32876,8833,3
Karnataka,Jaipur,Bus,Dusty,Rural,Afternoon,2020,18498,7338,3
Delhi,New Delhi,Auto,Rainy,Rural,Morning,2019,11136,8009,3
Maharashtra,Bangalore,Van,Clear,Urban,Afternoon,2021,33366,9228,3
West Bengal,Jaipur,Auto,Clear,Urban,Evening,2022,34774,4149,2
Rajasthan,Bangalore,Auto,Rainy,Urban,Evening,2022,36743,1473,1
Uttar Pradesh,Patna,Bus,Dusty,Rural,Afternoon,2022,30430,7915,3
Karnataka,Kolkata,Truck,Rainy,Rural,Afternoon,2019,3757,2232,3
Gujarat,Chennai,Van,Foggy,Urban,Evening,2022,13066,6608,3
Delhi,Chennai,Car,Foggy,Urban,Evening,2020,31912,6570,3
Uttar Pradesh,Jaipur,Truck,Clear,Highway,Night,2020,14616,2639,3
Delhi,Kolkata,Truck,Foggy,Rural,Morning,2018,32007,2856,2
West Bengal,Patna,Bike,Dusty,Highway,Night,2022,33503,5379,3
Bihar,Mumbai,Car,Rainy,Urban,Night,2021,5253,7475,3
Bihar,Kolkata,Bus,Dusty,Rural,Afternoon,2018,4663,6433,3
Maharashtra,New Delhi,Bike,Clear,Rural,Afternoon,2022,27056,9982,3
Bihar,Chennai,Bike,Foggy,Highway,Morning,2022,7611,2649,3
Delhi,New Delhi,Auto,Foggy,Highway,Night,2019,9891,5342,3
Gujarat,Chennai,Bus,Rainy,Highway,Night,2019,40967,9023,3
Maharashtra,Patna,Truck,Dusty,Highway,Evening,2020,9308,933,2
Kerala,Ahmedabad,Van,Dusty,Rural,Evening,2018,10645,4786,3
Uttar Pradesh,Lucknow,Truck,Rainy,Urban,Morning,2018,9509,6218,3
West Bengal,Kolkata,Truck,Foggy,Urban,Afternoon,2018,33320,9527,3
Maharashtra,Kolkata,Auto,Clear,Urban,Evening,2020,44489,384,1
Delhi,Ahmedabad,Truck,Clear,Highway,Morning,2021,5886,7591,3
Uttar Pradesh,Mumbai,Car,Rainy,Urban,Night,2021,13503,3638,3
Gujarat,Chennai,Truck,Rainy,Highway,Morning,2021,45947,4333,2
Tamil Nadu,Mumbai,Truck,Rainy,Highway,Morning,2018,19987,175,1
West Bengal,Kolkata,Car,Dusty,Urban,Evening,2022,33458,9187,3
Delhi,Jaipur,Auto,Foggy,Urban,Evening,2018,10410,7115,3
West Bengal,Jaipur,Bike,Foggy,Urban,Night,2022,40622,1844,1
Karnataka,Kochi,Bus,Rainy,Rural,Night,2019,25906,7337,3
Tamil Nadu,Bangalore,Auto,Clear,Highway,Night,2020,36740,6800,3
Uttar Pradesh,Jaipur,Truck,Dusty,Rural,Morning,2021,38541,7445,3
Bihar,Jaipur,Bike,Rainy,Urban,Morning,2018,18982,4883,3
Delhi,Chennai,Bus,Dusty,Rural,Evening,2018,35853,9230,3
West Bengal,Kochi,Bus,Rainy,Rural,Night,2019,11017,3441,3
Uttar Pradesh,Chennai,Bus,Dusty,Urban,Evening,2022,950,7108,3
Bihar,Kolkata,Car,Clear,Urban,Night,2021,14674,1807,2
Gujarat,New Delhi,Car,Clear,Highway,Night,2020,21313,4351,3
Gujarat,Mumbai,Bike,Clear,Highway,Evening,2022,32453,3878,2
West Bengal,Kolkata,Truck,Clear,Rural,Evening,2022,9456,5113,3
Maharashtra,New Delhi,Bike,Foggy,Urban,Evening,2021,44013,6336,2
Karnataka,Patna,Truck,Foggy,Highway,Night,2020,33749,745,1
Maharashtra,Patna,Auto,Dusty,Highway,Morning,2021,15538,2339,3
Karnataka,Chennai,Bus,Rainy,Rural,Evening,2021,14980,9421,3
Delhi,Lucknow,Bus,Foggy,Rural,Evening,2018,5148,9753,3
Kerala,Lucknow,Car,Rainy,Rural,Morning,2020,16959,2378,2
West Bengal,New Delhi,Auto,Dusty,Urban,Morning,2022,16666,7194,3
Rajasthan,Jaipur,Van,Rainy,Highway,Afternoon,2021,29844,9343,3
West Bengal,Chennai,Auto,Clear,Highway,Evening,2019,11027,8818,3
Tamil Nadu,New Delhi,Truck,Clear,Highway,Afternoon,2020,30344,4558,3
Bihar,Chennai,Auto,Foggy,Rural,Afternoon,2019,1960,2517,3
Tamil Nadu,New Delhi,Car,Dusty,Urban,Morning,2022,40769,2237,2
Gujarat,Patna,Truck,Foggy,Rural,Night,2020,13877,6865,3
Karnataka,Kochi,Bike,Foggy,Rural,Night,2018,11940,4640,3
Bihar,Chennai,Truck,Foggy,Urban,Morning,2020,2498,4154,3
Gujarat,Kochi,Bike,Dusty,Urban,Afternoon,2022,35858,228,1
Bihar,Patna,Van,Clear,Rural,Afternoon,2018,48571,3253,2
Maharashtra,Lucknow,Truck,Clear,Urban,Afternoon,2022,25274,8500,3
Gujarat,Ahmedabad,Bus,Foggy,Rural,Afternoon,2020,11159,8337,3
Maharashtra,Mumbai,Van,Rainy,Highway,Evening,2022,1597,6735,3
Maharashtra,Kolkata,Bike,Clear,Urban,Afternoon,2020,36762,100,1
Bihar,Mumbai,Car,Clear,Highway,Morning,2018,2641,3335,3
Uttar Pradesh,Mumbai,Van,Dusty,Urban,Afternoon,2020,7003,5032,3
Tamil Nadu,Kolkata,Van,Clear,Rural,Afternoon,2022,41756,8104,3
Gujarat,Patna,Van,Clear,Rural,Morning,2022,27384,6115,3
Rajasthan,Patna,Bike,Foggy,Rural,Afternoon,2022,36040,1734,1
Uttar Pradesh,Lucknow,Bike,Foggy,Rural,Night,2019,45305,9089,3
Tamil Nadu,Ahmedabad,Truck,Dusty,Rural,Morning,2019,33585,9195,3
Gujarat,Bangalore,Bus,Dusty,Rural,Evening,2019,49923,4453,2
Karnataka,Mumbai,Van,Rainy,Urban,Evening,2021,47811,1994,1
Tamil Nadu,Jaipur,Truck,Clear,Urban,Morning,2020,18251,5756,3
Rajasthan,Mumbai,Truck,Foggy,Highway,Evening,2019,7521,5366,3
West Bengal,Bangalore,Bus,Foggy,Urban,Evening,2022,43910,4950,2
Delhi,Chennai,Truck,Clear,Urban,Evening,2022,3811,7850,3
Maharashtra,Lucknow,Bus,Dusty,Highway,Morning,2019,10350,4043,3
Delhi,Kochi,Car,Foggy,Highway,Afternoon,2019,30872,2161,2
Uttar Pradesh,Kochi,Bus,Dusty,Rural,Evening,2022,30771,8167,3
West Bengal,Bangalore,Auto,Foggy,Highway,Night,2019,25518,4625,3
Maharashtra,Mumbai,Bus,Foggy,Highway,Afternoon,2021,9300,3464,3
Gujarat,Kochi,Bus,Rainy,Urban,Afternoon,2021,34360,9166,3
Uttar Pradesh,Bangalore,Auto,Foggy,Rural,Evening,2021,4284,2945,3
Rajasthan,Kolkata,Bus,Clear,Highway,Evening,2018,32890,8274,3
Bihar,Patna,Bike,Clear,Rural,Afternoon,2021,19741,5118,3
Gujarat,New Delhi,Truck,Clear,Rural,Evening,2022,2444,9179,3
Tamil Nadu,Patna,Truck,Dusty,Highway,Morning,2018,36139,368,1
Bihar,Mumbai,Car,Foggy,Highway,Morning,2022,9634,7722,3
Uttar Pradesh,Bangalore,Car,Dusty,Highway,Evening,2022,46920,3509,2
Tamil Nadu,Chennai,Auto,Rainy,Highway,Afternoon,2019,32095,3977,2
Rajasthan,Kochi,Bike,Foggy,Rural,Evening,2020,7104,6218,3
Delhi,Kochi,Car,Clear,Urban,Night,2021,10149,4780,3
Tamil Nadu,Kochi,Truck,Rainy,Rural,Morning,2020,26440,3595,2
Delhi,Bangalore,Car,Rainy,Rural,Afternoon,2020,49085,5897,2
Maharashtra,Patna,Car,Foggy,Rural,Night,2019,40907,1354,1
Karnataka,Chennai,Bus,Clear,Highway,Evening,2020,2638,5923,3
Kerala,Bangalore,Car,Dusty,Highway,Morning,2021,8980,8859,3
Gujarat,Mumbai,Auto,Foggy,Urban,Night,2018,23821,4410,3
Kerala,Lucknow,Truck,Clear,Urban,Afternoon,2022,6615,9108,3
Maharashtra,Mumbai,Auto,Rainy,Urban,Morning,2021,36612,4874,2
Tamil Nadu,New Delhi,Auto,Foggy,Rural,Evening,2019,24032,8285,3
Maharashtra,Lucknow,Van,Rainy,Urban,Evening,2018,8181,9114,3
Kerala,Mumbai,Bike,Clear,Rural,Morning,2019,5186,1894,3
Kerala,Chennai,Van,Dusty,Highway,Night,2021,39967,2283,2
Gujarat,Ahmedabad,Van,Dusty,Rural,Morning,2022,47285,5938,2
Bihar,Ahmedabad,Bus,Rainy,Highway,Morning,2020,13335,4956,3
West Bengal,Ahmedabad,Auto,Rainy,Highway,Morning,2020,46113,428,1
Maharashtra,New Delhi,Bike,Rainy,Urban,Night,2019,15781,6507,3
Karnataka,New Delhi,Truck,Foggy,Highway,Morning,2018,24798,4042,3
West Bengal,Ahmedabad,Truck,Clear,Urban,Afternoon,2022,17107,9303,3
Maharashtra,Kolkata,Bike,Rainy,Urban,Evening,2019,28726,5279,3
Rajasthan,Kochi,Auto,Rainy,Urban,Night,2022,44278,2115,1
Uttar Pradesh,Lucknow,Auto,Rainy,Rural,Afternoon,2019,2021,2605,3
Uttar Pradesh,Lucknow,Bus,Dusty,Urban,Morning,2018,39316,9071,3
Kerala,Kochi,Bus,Rainy,Urban,Afternoon,2021,38412,8990,3
Uttar Pradesh,Patna,Van,Clear,Highway,Night,2020,5272,8478,3
Delhi,Kolkata,Truck,Dusty,Rural,Evening,2022,6807,9261,3
Karnataka,Ahmedabad,Bus,Clear,Urban,Night,2022,31510,4239,2
Uttar Pradesh,Kochi,Bike,Dusty,Urban,Morning,2018,12550,8457,3
Tamil Nadu,Bangalore,Truck,Dusty,Urban,Morning,2022,10784,9467,3
Delhi,Lucknow,Auto,Foggy,Highway,Evening,2021,13155,800,2
West Bengal,Bangalore,Truck,Dusty,Highway,Night,2021,1236,6583,3
Delhi,Kochi,Car,Dusty,Highway,Night,2018,41605,8083,3
Maharashtra,Kochi,Truck,Clear,Urban,Night,2019,30094,8500,3
Kerala,Mumbai,Bus,Clear,Urban,Afternoon,2019,43857,3369,2
Gujarat,Mumbai,Bike,Rainy,Urban,Evening,2022,23862,7715,3
Gujarat,Chennai,Auto,Foggy,Urban,Night,2022,48551,3276,2
Rajasthan,Chennai,Auto,Dusty,Urban,Evening,2018,34301,9207,3
Karnataka,New Delhi,Bus,Foggy,Highway,Afternoon,2021,16744,7189,3
Maharashtra,New Delhi,Bus,Rainy,Urban,Night,2018,7163,5098,3
Gujarat,Ahmedabad,Bus,Foggy,Rural,Afternoon,2019,13845,3851,3
Kerala,Mumbai,Car,Dusty,Urban,Morning,2021,19165,5568,3
West Bengal,Ahmedabad,Bike,Clear,Highway,Morning,2022,7848,1595,3
Gujarat,Kochi,Car,Foggy,Urban,Morning,2019,39301,1190,1
Tamil Nadu,Ahmedabad,Bus,Dusty,Rural,Evening,2020,5119,8460,3
Delhi,Kochi,Bike,Rainy,Urban,Night,2019,43187,2299,2
Gujarat,Lucknow,Bus,Dusty,Rural,Night,2021,47443,4669,2
Maharashtra,Mumbai,Bike,Foggy,Rural,Afternoon,2021,41845,9032,3
Uttar Pradesh,Chennai,Auto,Dusty,Highway,Afternoon,2018,43780,8453,3
Uttar Pradesh,Ahmedabad,Car,Dusty,Rural,Morning,2021,11066,6886,3
West Bengal,Mumbai,Van,Foggy,Urban,Evening,2020,33781,8899,3
Uttar Pradesh,Lucknow,Bus,Foggy,Rural,Evening,2020,14733,827,2
West Bengal,Bangalore,Bus,Rainy,Urban,Afternoon,2021,33932,742,1
Maharashtra,Chennai,Truck,Dusty,Urban,Afternoon,2022,35455,7163,3
Karnataka,Kolkata,Van,Clear,Urban,Night,2021,45444,7599,3
Uttar Pradesh,Jaipur,Auto,Foggy,Urban,Night,2022,22708,4143,3
Rajasthan,Mumbai,Bus,Dusty,Highway,Afternoon,2021,39506,7860,3
Kerala,Patna,Car,Clear,Urban,Night,2019,23195,9383,3
Delhi,Mumbai,Auto,Clear,Highway,Afternoon,2021,10447,6477,3
Uttar Pradesh,Kochi,Bus,Dusty,Rural,Evening,2019,12815,3627,3
West Bengal,Kolkata,Car,Dusty,Urban,Morning,2022,40425,9314,3
Maharashtra,Patna,Truck,Dusty,Rural,Afternoon,2021,8999,3866,3
Uttar Pradesh,Ahmedabad,Truck,Clear,Highway,Afternoon,2022,44929,253,1
Gujarat,Lucknow,Car,Dusty,Urban,Night,2020,29305,4377,2
Uttar Pradesh,Patna,Auto,Foggy,Urban,Afternoon,2018,44293,1307,1
West Bengal,Ahmedabad,Car,Clear,Highway,Evening,2022,12056,2715,3
Tamil Nadu,Ahmedabad,Van,Foggy,Rural,Morning,2019,35261,4760,2
Tamil Nadu,Ahmedabad,Car,Foggy,Highway,Night,2018,1203,5419,3
Uttar Pradesh,Kochi,Truck,Dusty,Rural,Evening,2021,7138,2080,3
Delhi,Patna,Truck,Foggy,Rural,Morning,2019,854,7313,3
Maharashtra,New Delhi,Truck,Dusty,Rural,Night,2018,33814,2989,2
Rajasthan,Lucknow,Van,Clear,Urban,Evening,2018,15473,9000,3
Rajasthan,Bangalore,Bus,Foggy,Highway,Afternoon,2022,5636,6102,3
Uttar Pradesh,Mumbai,Van,Dusty,Urban,Night,2021,609,8265,3
Uttar Pradesh,Kochi,Bus,Rainy,Highway,Afternoon,2021,36939,3257,2
Tamil Nadu,Chennai,Van,Dusty,Rural,Night,2021,44643,8247,3
West Bengal,Bangalore,Bike,Rainy,Urban,Morning,2022,32068,9675,3
Delhi,Lucknow,Bus,Dusty,Urban,Night,2022,15444,7448,3
Uttar Pradesh,Kochi,Auto,Rainy,Urban,Night,2021,41220,3745,2
Rajasthan,Bangalore,Auto,Foggy,Rural,Evening,2018,33733,2221,2
Maharashtra,Mumbai,Truck,Rainy,Highway,Night,2021,46959,3041,2
Karnataka,Ahmedabad,Van,Foggy,Rural,Morning,2022,33444,3980,2
Gujarat,Kolkata,Car,Foggy,Urban,Evening,2021,46943,8656,3
Uttar Pradesh,Ahmedabad,Truck,Dusty,Urban,Afternoon,2022,28274,6099,3
West Bengal,Lucknow,Car,Foggy,Rural,Night,2021,22266,284,1
Uttar Pradesh,Mumbai,Van,Clear,Urban,Morning,2018,45540,4888,2
West Bengal,Bangalore,Truck,Rainy,Urban,Morning,2018,46541,3105,2
Delhi,Jaipur,Truck,Dusty,Highway,Night,2022,5556,7755,3
Karnataka,Kolkata,Auto,Foggy,Highway,Night,2022,6909,829,2
Kerala,Ahmedabad,Car,Rainy,Highway,Afternoon,2019,14098,5325,3
Maharashtra,New Delhi,Bike,Rainy,Highway,Afternoon,2020,45580,7701,3
Maharashtra,Bangalore,Bike,Clear,Highway,Afternoon,2019,26284,666,1
West Bengal,Ahmedabad,Truck,Rainy,Highway,Afternoon,2022,17310,1411,2
Tamil Nadu,Bangalore,Van,Dusty,Urban,Afternoon,2022,2027,4538,3
West Bengal,Kolkata,Truck,Dusty,Urban,Afternoon,2021,5750,7836,3
Tamil Nadu,Lucknow,Auto,Foggy,Highway,Evening,2019,15658,8903,3
Bihar,Chennai,Car,Foggy,Rural,Evening,2020,30499,723,1
Rajasthan,Ahmedabad,Truck,Dusty,Highway,Morning,2019,6452,7716,3
Maharashtra,Bangalore,Van,Rainy,Urban,Evening,2018,48058,8789,3
Delhi,Chennai,Bike,Rainy,Rural,Night,2018,19678,6165,3
West Bengal,Chennai,Car,Clear,Rural,Night,2019,28260,8514,3
Delhi,New Delhi,Truck,Foggy,Rural,Night,2019,26982,5917,3
